method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_scannet200_v151_severity,retained,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.34200226000439876,0.0,0.452799876982956,0.8373668309079638,0.364098868946242,0.0,0.8083058468323455,0.46324564490585957,0.0
ptv3_scannet200_v151_severity,retained,random_keep0p8,random_drop,0.8,0,0.0,64,312,0.80003521973506,0.3445556673573438,0.002553407352945014,0.4538659047133297,0.8365713992046163,0.3667479646868879,0.0026490957406459237,0.8078014989531461,0.47950301453206035,0.01625736962620078
ptv3_scannet200_v151_severity,retained,random_keep0p5,random_drop,0.5,0,0.0,64,312,0.49981151931943035,0.3304988891353108,-0.011503370869087981,0.4307939126876482,0.8347666453378373,0.3487637549246022,-0.015335114021639784,0.8066669620846559,0.5121310802088834,0.04888543530302386
ptv3_scannet200_v151_severity,retained,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.2000097437069202,0.26900750204987584,-0.07299475795452293,0.35033831479387273,0.8130742014152641,0.254906277519184,-0.109192591427058,0.7703924146922767,0.6174082374986222,0.1541625925927626
ptv3_scannet200_v151_severity,retained,random_keep0p1,random_drop,0.1,0,0.0,64,312,0.09995260956482245,0.1648224931688617,-0.17717976683553707,0.21924949367138707,0.7547908479978453,0.12386497539335882,-0.24023389355288316,0.6914499448088699,0.8111356932153392,0.3478900483094796
ptv3_scannet200_v151_severity,retained,fixed_points_16000,fixed_count_drop,1.0,16000,0.0,64,312,0.19518424251761574,0.24453665415939996,-0.0974656058449988,0.31874184501662506,0.7931712556814737,0.24730767106643706,-0.11679119787980494,0.7468893277944335,0.676446084265651,0.21320043935979144
ptv3_scannet200_v151_severity,retained,fixed_points_8000,fixed_count_drop,1.0,8000,0.0,64,312,0.09759212125880787,0.15193495558543504,-0.19006730441896372,0.1969288703588743,0.7122530428100444,0.11843782593579652,-0.24566104301044547,0.6373711119706658,0.8373665480427046,0.37412090313684504
ptv3_scannet200_v151_severity,retained,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.06179413046199596,-0.2802081295424028,0.0800163321789028,0.5947922516579573,0.08369342733681866,-0.2804054416094233,0.5070098668778983,0.852311939268461,0.3890662943626015
ptv3_scannet200_v151_severity,retained,structured_b64_keep0p8,structured_drop,0.8,0,0.0,64,312,0.8124615527116336,0.3313675887146396,-0.010634671289759146,0.44119244210954206,0.8280925467333213,0.3486340792501285,-0.015464789696113479,0.7999326166408349,0.5111508616763144,0.04790521677045484
ptv3_scannet200_v151_severity,retained,structured_b64_keep0p5,structured_drop,0.5,0,0.0,64,312,0.4928703133542186,0.30293504198048726,-0.0390672180239115,0.41091417905598293,0.8086843855412218,0.29695285155445716,-0.06714601739178483,0.7678361327021244,0.5890110447496227,0.12576539984376317
ptv3_scannet200_v151_severity,retained,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20663398733804336,0.26408257218483316,-0.0779196878195656,0.337614796260309,0.7884994701628565,0.3889508513644127,0.024851982418170715,0.7529769542472851,0.4685224299360045,0.005276785030144948
ptv3_scannet200_v151_severity,retained,structured_b64_keep0p1,structured_drop,0.1,0,0.0,64,312,0.10830141938048399,0.21963797528659804,-0.12236428471780073,0.28089162109186705,0.7724258002931423,0.2035538992910371,-0.1605449696552049,0.7320327619933648,0.6405955844600376,0.17734993955417805
ptv3_scannet200_v151_severity,retained,masked_model_keep0p5,masked_model_drop_raw,0.5,0,0.0,64,312,0.4930061462509447,0.27528477576027915,-0.06671748424411961,0.35276735904196727,0.8095203903039473,0.21203132292693022,-0.15206754601931177,0.7657647036250282,0.6172429167848892,0.15399727187902962
ptv3_scannet200_v151_severity,retained,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20420559492888807,0.2183509968465642,-0.12365126315783456,0.2718045323774679,0.7903425612237992,0.1831632269227871,-0.18093564202345488,0.7641498908338289,0.6454401754895319,0.18219453058367235
ptv3_scannet200_v151_severity,retained,masked_model_keep0p1,masked_model_drop_raw,0.1,0,0.0,64,312,0.09607882034707445,0.17403681243419297,-0.1679654475702058,0.2171660173017112,0.745214035989084,0.3456112475323784,-0.01848762141386362,0.6612797727278273,0.4719415316174134,0.008695886711553857
ptv3_scannet200_v151_severity,retained,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.0018621994009449228,-0.34014006060345386,0.005585035082213774,0.27604845847944426,0.0,-0.364098868946242,0.2563887948000412,1.0,0.5367543550941405
ptv3_scannet200_v151_severity,full_nn,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.34200226000439876,0.0,0.452799876982956,0.8373668309079638,0.364098868946242,0.0,0.8083058468323455,0.46324564490585957,0.0
ptv3_scannet200_v151_severity,full_nn,random_keep0p8,random_drop,0.8,0,0.0,64,312,0.80003521973506,0.34278650729886523,0.0007842472944664669,0.4520735723861412,0.8353298576577647,0.36388302683147405,-0.00021584211476793902,0.8056063436300616,0.48164848378204,0.01840283887618044
ptv3_scannet200_v151_severity,full_nn,random_keep0p5,random_drop,0.5,0,0.0,64,312,0.49981151931943035,0.32612038663204806,-0.015881873372350697,0.42679239471261354,0.831395250043331,0.3420196725007749,-0.022079196445467075,0.8005943821079258,0.5192899876825621,0.056044342776702505
ptv3_scannet200_v151_severity,full_nn,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.2000097437069202,0.25905605519987146,-0.0829462048045273,0.34055891133883387,0.8051774824895135,0.24259165621039872,-0.12150721273584328,0.7572118761809461,0.6304548653879993,0.16720922048213976
ptv3_scannet200_v151_severity,full_nn,random_keep0p1,random_drop,0.1,0,0.0,64,312,0.09995260956482245,0.15513982192959944,-0.18686243807479933,0.2078591849925764,0.7415786436069141,0.11400858203292072,-0.25009028691332125,0.6718264332481222,0.8218223942753241,0.35857674936946454
ptv3_scannet200_v151_severity,full_nn,fixed_points_16000,fixed_count_drop,1.0,16000,0.0,64,312,0.19518424251761574,0.21011732773577121,-0.13188493226862755,0.27773872512975484,0.7618532178453197,0.14809243529322458,-0.21600643365301742,0.6978816880004308,0.7920112616575752,0.3287656167517156
ptv3_scannet200_v151_severity,full_nn,fixed_points_8000,fixed_count_drop,1.0,8000,0.0,64,312,0.09759212125880787,0.11696698982519596,-0.2250352701792028,0.153363536388617,0.6599486465236347,0.03700290944444845,-0.32709595950179354,0.5703054115884278,0.9248782919819344,0.4616326470760748
ptv3_scannet200_v151_severity,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.04155496456020083,-0.3004472954441979,0.05534299121144375,0.5419351738993944,0.019099172709631282,-0.3449996962366107,0.45724582500212346,0.9227667311865798,0.45952108628072025
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p8,structured_drop,0.8,0,0.0,64,312,0.8124615527116336,0.2872923130586757,-0.054709946945723065,0.3963818436072904,0.7912315325165049,0.3237529967388835,-0.04034587220735847,0.7440029879682502,0.519759223414863,0.05651357850900346
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p5,structured_drop,0.5,0,0.0,64,312,0.4928703133542186,0.1857853310285833,-0.15621692897581546,0.2800711048543629,0.6808383842846527,0.21024739879266274,-0.15385147015357925,0.5935811713418823,0.6376473693471758,0.17440172444131624
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20663398733804336,0.08577396305233304,-0.2562282969520657,0.13256979218209047,0.5016676352418495,0.11789898223528879,-0.24619988671095322,0.40858810677650254,0.5135785090034606,0.050332864097601016
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p1,structured_drop,0.1,0,0.0,64,312,0.10830141938048399,0.04982756055734802,-0.29217469944705077,0.07751941304484525,0.3909183765333858,0.03736542440406818,-0.3267334445421738,0.3107027760425709,0.5798873834242477,0.11664173851838816
ptv3_scannet200_v151_severity,full_nn,masked_model_keep0p5,masked_model_drop_raw,0.5,0,0.0,64,312,0.4930061462509447,0.10943142701720682,-0.23257083298719194,0.19605773371875024,0.48754672867147136,0.10509253984858052,-0.25900632909766147,0.406959634710747,0.5999692064050678,0.13672356149920822
ptv3_scannet200_v151_severity,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20420559492888807,0.04252552182993503,-0.29947673817446374,0.07399122640149683,0.31590930884380775,0.04575528466052064,-0.31834358428572135,0.28898938676380936,0.5350020529063289,0.07175640800046929
ptv3_scannet200_v151_severity,full_nn,masked_model_keep0p1,masked_model_drop_raw,0.1,0,0.0,64,312,0.09607882034707445,0.023094943888272067,-0.3189073161161267,0.038435030397081314,0.25191680928744653,0.04487554119008144,-0.3192233277561606,0.24489376098346038,0.5305516452577864,0.06730600035192685
ptv3_scannet200_v151_severity,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.0018621994009449228,-0.34014006060345386,0.005585035082213774,0.27604845847944426,0.0,-0.364098868946242,0.2563887948000412,1.0,0.5367543550941405
